,분기,행정동_코드_명,업종,연령대_10_매출_금액,연령대_20_매출_금액,연령대_10_매출_건수,연령대_20_매출_건수
5632,1,신사동,피부관리실,611832,176817886,21,1127
5633,1,신사동,양식음식점,160302486,2781578935,6595,84178
5634,1,신사동,세탁소,0,14851676,0,607
5635,1,신사동,육류판매,0,10631088,0,634
5636,1,압구정동,외국어학원,17679456,79186139,55,159
5637,1,압구정동,스포츠 강습,0,474081216,0,485
5638,1,압구정동,완구,3586428,104959058,78,1804
5639,1,역삼2동,일반의류,2114366,46420169,38,643
5640,1,역삼1동,슈퍼마켓,49603772,1450011193,7592,125682
5641,1,역삼1동,컴퓨터및주변장치판매,0,385870714,0,3322
5642,1,역삼1동,자동차미용,0,5814521,0,256
5643,1,역삼2동,피부관리실,14003868,104990696,47,542
5644,1,역삼2동,청과상,0,39373993,0,4121
5645,1,역삼2동,시계및귀금속,92581,968890,10,46
5646,1,일원1동,호프-간이주점,13774221,155968748,349,3242
5647,1,일원1동,의료기기,0,0,0,0
5648,1,일원2동,일식음식점,0,0,0,0
5649,1,일원본동,편의점,5670318,752172267,1589,208305
5650,1,청담동,커피-음료,15693600,646434710,2245,79139
5651,1,청담동,한식음식점,30285927,2064381859,782,49494
5652,1,청담동,중식음식점,5778091,306333365,220,5452
5653,1,청담동,스포츠클럽,4536254,224921583,35,394
5654,1,청담동,치킨전문점,3419187,33134252,169,1132
5655,1,가락1동,커피-음료,150972,28374992,39,4180
5656,1,가락2동,육류판매,629533,39028191,25,1627
5657,1,가락1동,육류판매,5562457,2827159905,110,41855
5658,1,가락2동,의약품,2751511,178040635,350,11013
5659,1,가락2동,자동차수리,0,101684855,0,275
5660,1,가락본동,패스트푸드점,6632968,73634203,456,4716
5661,1,가락본동,편의점,47643110,970477401,10577,167047
5662,1,가락본동,한의원,82411,4454705,9,456
5663,1,거여2동,피부관리실,0,0,0,0
5664,1,마천1동,핸드폰,0,0,0,0
5665,1,문정1동,일반교습학원,0,0,0,0
5666,1,문정1동,네일숍,0,0,0,0
5667,1,문정2동,인테리어,1363002,16463389,112,1299
5668,1,문정2동,조명용품,0,2157410,0,318
5669,1,문정2동,제과점,5581917,379345138,677,46831
5670,1,방이1동,편의점,81872772,482635740,30485,91699
5671,1,방이1동,청과상,0,10170879,0,744
5672,1,방이1동,중식음식점,0,1998799,0,117
5673,1,방이1동,자동차미용,0,0,0,0
5674,1,방이1동,철물점,0,979893,0,137
5675,1,석촌동,노래방,1747550,13532629,521,1607
5676,1,방이2동,분식전문점,10202386,229980268,1170,17780
5677,1,방이2동,미용실,1742292,49100212,92,1060
5678,1,석촌동,당구장,637853,27156751,65,278
5679,1,석촌동,의료기기,0,0,0,0
5680,1,석촌동,외국어학원,0,0,0,0
5681,1,송파1동,전자상거래업,0,4424631,0,166
5682,1,송파1동,스포츠클럽,0,168012276,0,508
5683,1,송파1동,조명용품,0,182936275,0,4512
5684,1,송파1동,애완동물,40433,6114343,11,309
5685,1,송파2동,화초,0,7201476,0,156
5686,1,송파2동,자동차수리,0,3207596,0,40
5687,1,송파2동,양식음식점,5636675,31667428,492,1833
5688,1,오금동,슈퍼마켓,9766961,135573738,1741,16354
5689,1,오금동,서적,8118832,0,448,0
5690,1,위례동,분식전문점,4072672,8526248,385,672
5691,1,위례동,안경,197833,7612255,6,75
5692,1,잠실2동,스포츠 강습,0,0,0,0
5693,1,잠실2동,청과상,0,1050601,0,72
5694,1,잠실3동,세탁소,0,1961327,0,188
5695,1,잠실3동,네일숍,0,7160822,0,79
5696,1,잠실4동,제과점,130306,8796230,14,692
5697,1,잠실6동,당구장,190783,361215,19,25
5698,1,잠실7동,화초,0,1959563,0,84
5699,1,잠실본동,피부관리실,120403,73112655,4,753
5700,1,잠실본동,화장품,53620459,834539642,3444,42054
5701,1,잠실본동,외국어학원,0,0,0,0
5702,1,잠실본동,인테리어,114533,4867903,16,249
5703,1,잠실본동,수산물판매,284018,9518425,32,574
5704,1,잠실본동,골프연습장,0,5190616,0,140
5705,1,잠실본동,치킨전문점,17238701,134421461,1007,7039
5706,1,장지동,한의원,145010,13333947,17,919
5707,1,풍납2동,편의점,32229419,357529874,8188,63612
5708,1,풍납2동,가전제품수리,0,542488,0,51
5709,1,풍납2동,가방,0,0,0,0
5710,1,강일동,제과점,2978183,41608178,532,6195
5711,1,고덕1동,미용실,1369455,7573420,76,484
5712,1,고덕1동,육류판매,0,3053699,0,179
5713,1,길동,시계및귀금속,0,138571,0,27
5714,1,고덕1동,철물점,0,1077468,0,32
5715,1,고덕2동,자동차수리,2732845,3565233,19,41
5716,1,둔촌2동,스포츠 강습,0,22023089,0,64
5717,1,둔촌2동,철물점,0,3522603,0,211
5718,1,명일1동,노래방,738730,13038699,33,582
5719,1,명일1동,PC방,22205465,166350839,6243,33850
5720,1,명일1동,피부관리실,0,19990592,0,69
5721,1,명일1동,청과상,1106116,29595987,70,1321
5722,1,명일1동,호프-간이주점,22037183,107858693,696,2859
5723,1,상일동,전자상거래업,0,0,0,0
5724,1,상일동,스포츠 강습,0,1223629,0,8
5725,1,상일동,양식음식점,404248,7228074,34,430
5726,1,상일동,중식음식점,166877,23342554,10,611
5727,1,성내1동,편의점,13734990,469842118,3909,78967
5728,1,성내1동,자동차수리,0,183274738,0,787
5729,1,성내1동,스포츠 강습,0,56470283,0,124
5730,1,성내1동,일반교습학원,0,0,0,0
5731,1,성내2동,치킨전문점,1662130,64020021,73,3366
5732,1,성내1동,당구장,137484,2061887,21,45
5733,1,성내2동,예술학원,0,16409174,0,90
5734,1,성내2동,편의점,33306811,1049189561,8859,188436
5735,1,성내2동,외국어학원,0,0,0,0
5736,1,성내2동,시계및귀금속,0,732005,0,29
5737,1,성내2동,신발,0,0,0,0
5738,1,성내2동,일반의원,2304255,489094378,122,8988
5739,1,성내2동,네일숍,0,4334722,0,72
5740,1,성내3동,일반의류,11777155,390612238,155,5573
5741,1,성내3동,피부관리실,0,9056573,0,45
5742,1,성내3동,육류판매,3472012,246184419,184,7193
5743,1,암사1동,커피-음료,1656630,42470108,400,9103
5744,1,암사1동,의약품,2957016,65135097,406,7251
5745,1,암사2동,피부관리실,0,7574750,0,40
5746,1,암사2동,치과의원,0,26193123,0,432
5747,1,암사3동,일반의원,3184837,122897525,424,6586
5748,1,암사3동,일반의류,0,0,0,0
5749,1,천호1동,세탁소,168892,11767326,38,637
5750,1,응암2동,네일숍,0,0,0,0
5751,1,다산동,시계및귀금속,0,4364393,0,35
5752,1,천호3동,피부관리실,0,2541891,0,66
5753,1,천호1동,중식음식점,23653,2935716,6,182
5754,1,천호1동,자동차미용,0,2960526,0,47
5755,1,천호1동,청과상,3841247,2551199,470,493
5756,1,천호3동,한식음식점,49086996,844832965,2703,32153
5757,1,천호3동,네일숍,0,0,0,0
5758,1,천호3동,여관,1331877,27503714,33,2054
5759,1,가회동,일식음식점,4321456,131800134,334,3823
5760,1,가회동,자동차수리,0,0,0,0
5761,1,교남동,한식음식점,3053408,75068549,97,3809
5762,1,부암동,호프-간이주점,112427,6774171,7,136
5763,1,부암동,일반교습학원,0,0,0,0
5764,1,부암동,미곡판매,0,0,0,0
5765,1,사직동,미용실,4601929,36684479,60,1045
5766,1,삼청동,치과의원,0,7953029,0,86
5767,1,삼청동,양식음식점,13018062,592522966,379,13121
5768,1,숭인1동,편의점,15987849,328100594,3624,51104
5769,1,숭인2동,패스트푸드점,11150780,161637291,1604,19042
5770,1,이화동,치과의원,0,21190374,0,290
5771,1,숭인2동,일식음식점,1271003,44329551,92,3319
5772,1,이화동,분식전문점,17915611,147888817,1417,11412
5773,1,종로1·2·3·4가동,문구,30277529,632636633,1430,48944
5774,1,종로1·2·3·4가동,인테리어,4624499,34371007,79,836
5775,1,종로1·2·3·4가동,신발,0,74595933,0,326
5776,1,종로5·6가동,가방,0,0,0,0
5777,1,종로5·6가동,신발,0,0,0,0
5778,1,창신1동,슈퍼마켓,1556805,65642150,517,7557
5779,1,창신1동,가방,0,0,0,0
5780,1,청운효자동,호프-간이주점,560208,59566036,4,826
5781,1,청운효자동,피부관리실,0,0,0,0
5782,1,평창동,서적,0,0,0,0
5783,1,혜화동,분식전문점,89225578,1099858138,6381,77046
5784,1,혜화동,예술학원,3408188,74808093,18,325
5785,1,혜화동,자동차수리,0,1975461,0,42
5786,1,광희동,호프-간이주점,5792286,427842149,133,6973
5787,1,다산동,양식음식점,0,37759577,0,507
5788,1,명동,피부관리실,9774330,247575466,216,2537
5789,1,동화동,한의원,0,2048976,0,173
5790,1,명동,제과점,17779436,795213970,2133,86218
5791,1,소공동,커피-음료,15894822,1170656289,2681,186789
5792,1,소공동,호프-간이주점,900176,68244141,64,4273
5793,1,소공동,미곡판매,0,0,0,0
5794,1,소공동,예술학원,0,16544752,0,100
5795,1,신당5동,노래방,0,4979974,0,45
5796,1,약수동,의약품,3632072,108190749,243,9022
5797,1,약수동,노래방,35559,1991281,6,83
5798,1,을지로동,치킨전문점,351431,21638715,20,517
5799,1,을지로동,가전제품,0,497484,0,21
5800,1,중림동,호프-간이주점,1569339,17772063,45,376
5801,1,청구동,일반의류,7764706,475479703,136,4366
5802,1,청구동,스포츠 강습,1659800,14274279,11,78
5803,1,청구동,치킨전문점,0,645977,0,34
5804,1,황학동,시계및귀금속,0,660607,0,42
5805,1,필동,분식전문점,10416541,215636441,1262,22386
5806,1,필동,호프-간이주점,4670173,85567751,84,1919
5807,1,필동,일반의원,1439689,11842622,164,1487
5808,1,황학동,가구,0,203557701,0,392
5809,1,황학동,치킨전문점,0,3297820,0,109
5810,1,황학동,슈퍼마켓,3014727,93402260,782,15771
5811,1,황학동,피부관리실,0,551378,0,10
5812,1,황학동,패스트푸드점,922468,30500183,134,4204
5813,1,회현동,의약품,2214014,212581546,266,20844
5814,1,회현동,문구,24878,30526328,4,1061
5815,1,회현동,섬유제품,0,3655581,0,62
5816,1,남영동,화장품,20684218,572829458,1288,33447
5817,1,보광동,패스트푸드점,436383,10437801,40,692
5818,1,보광동,화장품,0,116883,0,4
5819,1,보광동,애완동물,0,372322,0,7
5820,1,보광동,미곡판매,0,0,0,0
5821,1,서빙고동,슈퍼마켓,87800,186441,33,33
5822,1,서빙고동,예술학원,0,0,0,0
5823,1,원효로1동,외국어학원,0,0,0,0
5824,1,용문동,신발,0,0,0,0
5825,1,용문동,전자상거래업,0,0,0,0
5826,1,원효로1동,편의점,10244676,392043668,2656,63671
5827,1,원효로2동,미곡판매,1749515,2755485,88,175
5828,1,원효로2동,육류판매,90064,1170832,9,45
5829,1,이촌2동,육류판매,0,530689,0,30
5830,1,이태원1동,스포츠클럽,695342,136368799,5,302
5831,1,금호4가동,중식음식점,0,5017540,0,313
5832,1,이태원2동,편의점,6963475,209558839,1644,30571
5833,1,이태원2동,호프-간이주점,3633444,183642434,189,5576
5834,1,이태원2동,스포츠 강습,0,0,0,0
5835,1,청파동,철물점,0,2324339,0,181
5836,1,청파동,화초,1462012,57539131,65,2279
5837,1,청파동,일반의원,3203535,42851618,611,4951
5838,1,청파동,한의원,353564,23158439,44,798
5839,1,청파동,의료기기,0,0,0,0
5840,1,한강로동,패스트푸드점,8163184,129306603,1126,15300
5841,1,한강로동,핸드폰,794438,78525362,108,1154
5842,1,한남동,육류판매,592625,542600653,18,21323
5843,1,한남동,당구장,297140,6053359,26,390
5844,1,한남동,화초,0,26845596,0,346
5845,1,한남동,의약품,1585159,231359549,172,14536
5846,1,한남동,안경,1274694,25794391,29,304
5847,1,한남동,가방,0,4305944,0,143
5848,1,효창동,편의점,8324254,177901127,2683,36843
5849,1,후암동,미용실,530085,31695268,32,1000
5850,1,금호2·3가동,당구장,991382,933619,103,98
5851,1,금호2·3가동,일반교습학원,0,0,0,0
5852,1,금호4가동,슈퍼마켓,604275,8376169,184,1116
5853,1,금호4가동,치과의원,0,7559724,0,110
5854,1,마장동,제과점,2028879,32997341,248,4506
5855,1,마장동,가전제품수리,0,0,0,0
5856,1,사근동,문구,11907858,209633488,2173,35770
5857,1,사근동,슈퍼마켓,39573054,1007293586,5999,135138
5858,1,성수1가1동,당구장,227839,1509434,28,113
5859,1,성수1가2동,컴퓨터및주변장치판매,0,66577044,0,1188
5860,1,성수1가1동,신발,0,1244540,0,161
5861,1,성수1가1동,시계및귀금속,0,0,0,0
5862,1,성수1가1동,인테리어,0,0,0,0
5863,1,성수1가2동,편의점,25272249,777505664,5826,143718
5864,1,성수1가2동,의료기기,0,0,0,0
5865,1,성수1가2동,안경,0,2111720,0,44
5866,1,성수1가2동,세탁소,367828,6723959,16,469
5867,1,성수2가1동,핸드폰,3467142,433393,261,86
5868,1,성수2가1동,가전제품,0,0,0,0
5869,1,성수2가3동,자전거 및 기타운송장비,665234,62013023,91,282
5870,1,성수2가3동,양식음식점,9897165,196970187,293,5786
5871,1,송정동,제과점,484611,14748086,37,1726
5872,1,옥수동,양식음식점,1429352,80110894,17,914
5873,1,옥수동,슈퍼마켓,4250185,109710956,1005,10792
5874,1,옥수동,반찬가게,0,35455644,0,1919
5875,1,옥수동,편의점,39680218,686160884,7113,93732
5876,1,왕십리2동,치킨전문점,644229,19383794,35,883
5877,1,왕십리2동,섬유제품,0,433121,0,8
5878,1,왕십리도선동,치과의원,1192059,91509523,25,967
5879,1,응봉동,스포츠 강습,0,0,0,0
5880,1,왕십리도선동,일반의원,1092693,126308024,172,5638
